village_id,village_name,district,state,latitude,longitude,area_sq_km,avg_solar_irradiance_kwh_m2_day,annual_sun_hours,seasonal_solar_variation_percent,avg_temperature_c,rainfall_mm_year,cloud_cover_percent,population,households,estimated_annual_electricity_demand_kwh,agricultural_demand_kwh,public_facility_demand_kwh,grid_connected,grid_reliability_percent,avg_daily_power_hours,outage_hours_month,distance_to_grid_km,existing_solar_capacity_kw,existing_solar_project,solar_pumps_count,existing_solar_generation_kwh_year,recommended_capacity_kw,installation_cost_inr,maintenance_cost_inr_year,panel_efficiency_percent,system_efficiency_percent,expected_annual_generation_kwh,electricity_value_inr_kwh,degradation_rate_percent,project_lifetime_years,priority_score
V20001,Village_1,District_26,Uttar Pradesh,32.904785,82.408133,16.0,5.12,3041.0,6.96,22.56,315.0,16.45,5480,1003,2164191.0,565691.0,106490.0,True,66.33,16.92,63.81,7.36,12.92,True,1,17820.0,1000.0,55905239.0,686856.0,22.36,90.66,1894176.0,5.3,0.62,21,57.18
V20002,Village_2,District_6,Uttar Pradesh,29.713419,75.064053,42.37,5.56,2920.0,10.81,26.89,299.0,59.73,11243,2552,5373305.0,1913588.0,383746.0,True,79.59,9.57,52.11,1.36,31.22,True,8,49727.0,1000.0,60305415.0,1717440.0,23.76,91.03,2194667.0,8.54,0.56,22,61.15
V20003,Village_3,District_1,Madhya Pradesh,21.906298,73.36677,14.45,4.51,3013.0,10.99,25.96,1230.0,22.06,29450,8238,14899884.0,6899805.0,655660.0,True,66.28,21.43,30.58,7.83,35.65,True,14,56110.0,1000.0,51354910.0,1027716.0,23.43,85.54,1649609.0,5.97,0.84,24,56.06
V20004,Village_4,District_20,Andhra Pradesh,26.926435,95.126599,55.45,6.37,2602.0,16.68,28.37,340.0,28.21,7647,2138,2804588.0,925685.0,103815.0,True,98.91,9.81,51.02,9.17,129.26,False,7,158634.0,1000.0,69515638.0,1179545.0,23.12,87.95,2363883.0,5.24,0.52,22,60.1
V20005,Village_5,District_11,Karnataka,11.014521,74.5693,12.48,4.94,2875.0,26.01,30.68,883.0,23.24,13464,2780,8458955.0,2774060.0,381571.0,False,0.0,6.21,95.09,28.56,19.11,False,10,26096.0,1000.0,54515873.0,809056.0,18.01,87.01,1412774.0,8.99,0.84,21,75.11
V20006,Village_6,District_15,Gujarat,29.902988,93.507153,9.41,5.98,3134.0,33.94,27.13,732.0,47.44,537,114,340199.0,82331.0,33169.0,True,78.73,11.42,59.59,1.21,59.32,False,6,75957.0,298.17,14070680.0,334347.0,17.2,82.32,460746.0,7.66,0.69,21,49.31
V20007,Village_7,District_3,Madhya Pradesh,27.102042,68.051573,23.02,4.8,2923.0,26.52,26.1,1436.0,37.52,22292,4251,12801974.0,3755544.0,401472.0,True,89.79,12.38,63.09,11.79,36.54,False,12,45980.0,1000.0,49333394.0,1444474.0,22.58,78.5,1552736.0,6.4,0.56,25,52.3
V20008,Village_8,District_12,Andhra Pradesh,11.41591,74.792173,28.1,4.7,3141.0,5.65,26.48,1676.0,36.71,18719,4911,9912283.0,2235339.0,723938.0,True,65.02,13.82,63.79,12.68,118.99,False,9,144479.0,1000.0,47305649.0,1596861.0,19.22,87.43,1441367.0,4.75,0.71,24,56.14
V20009,Village_9,District_20,Karnataka,20.880549,90.31701,26.02,4.49,2415.0,6.56,18.21,785.0,53.12,18790,3500,6270555.0,2372033.0,322664.0,True,67.94,8.37,16.23,12.27,73.3,True,18,111614.0,1000.0,52189350.0,2052549.0,20.21,86.17,1427025.0,8.23,0.64,23,54.07
V20010,Village_10,District_11,Karnataka,33.900547,83.054576,42.49,4.51,2478.0,10.6,26.13,1310.0,25.22,31212,7106,11206794.0,3833074.0,1126003.0,False,0.0,11.05,93.0,30.0,108.55,False,2,135380.0,1000.0,70170266.0,1056725.0,18.8,89.88,1390786.0,6.68,0.83,20,71.92
