village_id,village_name,district,state,latitude,longitude,area_sq_km,avg_solar_irradiance_kwh_m2_day,annual_sun_hours,seasonal_solar_variation_percent,avg_temperature_c,rainfall_mm_year,cloud_cover_percent,population,households,estimated_annual_electricity_demand_kwh,agricultural_demand_kwh,public_facility_demand_kwh,grid_connected,grid_reliability_percent,avg_daily_power_hours,outage_hours_month,distance_to_grid_km,existing_solar_capacity_kw,existing_solar_project,solar_pumps_count,existing_solar_generation_kwh_year,recommended_capacity_kw,installation_cost_inr,maintenance_cost_inr_year,panel_efficiency_percent,system_efficiency_percent,expected_annual_generation_kwh,electricity_value_inr_kwh,degradation_rate_percent,project_lifetime_years
V10001,Village_1,District_1,Rajasthan,24.014256,92.811152,22.83,4.92,2259.0,17.28,29.09,411.0,19.37,41649,8789,20054543.0,7250519.0,1845244.0,True,66.51,10.22,77.32,5.58,82.94,False,16,135569.0,1000.0,45352323.0,1344605.0,17.84,84.44,1352605.0,6.69,0.93,21
V10002,Village_2,District_21,Telangana,17.54371,83.316319,21.78,5.88,2887.0,7.4,34.4,1362.0,15.95,3131,649,1563046.0,682020.0,157374.0,False,0.0,11.27,144.98,15.6,95.06,False,6,165585.0,1000.0,73086060.0,1432372.0,22.85,88.84,2178387.0,5.98,0.65,23
V10003,Village_3,District_18,Karnataka,17.079471,85.747237,50.21,4.42,2214.0,27.79,20.36,520.0,51.47,24113,4643,8730110.0,2500366.0,806586.0,True,91.77,16.47,45.52,4.44,27.28,False,18,44144.0,1000.0,59445288.0,1745850.0,20.84,87.57,1472103.0,6.67,0.78,21
V10004,Village_4,District_2,Gujarat,18.792811,91.475559,44.75,5.42,2671.0,32.3,26.23,1483.0,25.15,43856,12245,21612058.0,8220736.0,1389221.0,False,0.0,6.01,95.34,8.86,128.44,True,6,162745.0,1000.0,57011180.0,1044594.0,18.85,83.71,1560813.0,5.77,0.33,23
V10005,Village_5,District_28,Gujarat,32.717393,96.99075,15.86,5.45,2740.0,10.31,23.23,560.0,28.99,8618,2206,5072601.0,1554717.0,365537.0,True,90.06,11.73,76.26,14.77,135.65,False,15,176796.0,1000.0,64550228.0,1039822.0,22.4,84.58,1884409.0,7.38,0.58,22
V10006,Village_6,District_7,Karnataka,30.201494,75.595835,8.09,5.2,3196.0,19.35,24.93,1134.0,56.91,2849,545,1759731.0,863801.0,57249.0,False,0.0,6.96,45.63,12.49,45.66,False,13,64257.0,1000.0,66440216.0,1359413.0,20.92,79.02,1568790.0,4.86,0.87,22
V10007,Village_7,District_8,Bihar,20.971287,81.928494,41.41,5.02,2343.0,28.42,22.53,1280.0,39.81,40242,8897,13671741.0,5557141.0,1106502.0,True,89.04,21.52,10.44,7.11,100.4,False,19,120918.0,1000.0,68629219.0,1354714.0,18.78,88.88,1529207.0,4.66,0.76,25
V10008,Village_8,District_6,Madhya Pradesh,33.104654,78.469271,30.22,5.75,2997.0,13.78,25.97,1080.0,36.65,37148,7023,14322246.0,4950257.0,1416968.0,False,0.0,4.85,41.13,18.99,111.01,True,3,154164.0,1000.0,69932186.0,1725560.0,21.48,82.61,1862077.0,6.2,0.94,22
V10009,Village_9,District_11,Bihar,33.675587,92.475386,38.49,6.08,3004.0,13.04,32.69,856.0,10.05,6989,1789,2612678.0,1080649.0,89159.0,False,0.0,6.57,98.83,9.94,19.51,True,6,26238.0,1000.0,60535044.0,1589720.0,22.92,89.97,2288120.0,8.25,0.48,22
V10010,Village_10,District_6,Tamil Nadu,31.316023,85.30171,42.27,5.79,3009.0,19.88,18.19,774.0,14.82,27619,5867,15566049.0,6176273.0,1575351.0,True,69.95,10.77,51.16,4.61,57.53,True,7,97235.0,1000.0,71942192.0,2871981.0,23.7,90.52,2266910.0,5.18,0.81,21
V10011,Village_11,District_11,Karnataka,28.63081,68.076857,58.96,5.85,2903.0,19.23,33.85,1549.0,26.04,20385,3844,9596276.0,2185748.0,536753.0,False,0.0,4.37,216.25,27.79,91.81,False,15,131722.0,1000.0,74545405.0,1516290.0,23.0,80.05,1965658.0,7.78,0.49,24
V10012,Village_12,District_25,Uttar Pradesh,25.231163,88.45184,36.87,5.59,3044.0,14.77,30.46,1304.0,32.72,2722,570,1707752.0,383272.0,91607.0,True,94.14,17.49,45.29,5.97,100.23,False,8,135156.0,1000.0,61145428.0,1825042.0,21.6,80.02,1763303.0,4.5,0.39,21
V10013,Village_13,District_14,Telangana,33.828854,83.866734,40.49,5.4,2423.0,32.18,29.32,205.0,48.68,25767,6817,16695595.0,8973393.0,1038777.0,True,92.14,17.27,76.33,8.41,145.57,False,19,220745.0,1000.0,48125354.0,962263.0,22.89,86.09,1942026.0,7.09,0.81,21
V10014,Village_14,District_28,Telangana,12.808828,91.764682,54.03,5.88,2435.0,14.32,29.66,1230.0,18.44,22322,5099,7791967.0,3250694.0,801595.0,True,87.97,18.27,5.18,7.16,132.0,False,15,177481.0,1000.0,52809396.0,1111340.0,23.32,88.39,2211933.0,8.64,0.56,23
V10015,Village_15,District_14,Rajasthan,19.720069,88.463252,55.89,6.01,2881.0,16.48,23.95,1766.0,55.59,10818,2843,4421672.0,1327668.0,133850.0,True,65.06,15.78,2.41,2.83,134.65,True,6,190321.0,1000.0,57018379.0,1968625.0,23.71,80.35,2089560.0,7.24,0.57,23
V10016,Village_16,District_9,Andhra Pradesh,11.711947,73.547993,34.85,4.33,3259.0,25.3,30.83,1362.0,19.62,13611,2559,7235206.0,2674657.0,591635.0,True,66.3,17.33,72.7,12.48,102.62,True,8,152249.0,1000.0,54864897.0,1061393.0,18.02,89.67,1276888.0,5.06,0.61,20
V10017,Village_17,District_24,Gujarat,30.617002,85.896727,54.93,6.33,2292.0,8.06,34.5,1085.0,31.26,44670,9356,17307290.0,9228746.0,1273445.0,True,84.79,18.55,5.65,11.9,76.77,True,3,106617.0,1000.0,60850384.0,1698720.0,20.21,88.3,2061549.0,4.77,0.33,21
V10018,Village_18,District_25,Karnataka,28.761582,80.792507,32.96,5.99,2569.0,8.36,26.72,183.0,49.45,40393,8652,25933448.0,3965617.0,1951493.0,True,69.8,10.51,18.27,9.0,56.43,True,17,72653.0,1000.0,68270292.0,1609885.0,20.52,81.53,1828877.0,5.64,0.35,25
V10019,Village_19,District_26,Uttar Pradesh,14.594338,94.519842,25.54,4.69,2507.0,24.47,29.05,405.0,30.34,618,160,214342.0,114752.0,20501.0,True,81.63,8.81,20.45,14.88,97.75,True,2,175628.0,152.31,11163811.0,340265.0,19.17,88.33,220747.0,4.64,0.74,22
