id,name,district,latitude,longitude,population,grid_distance_km,ghi_jan,ghi_feb,ghi_mar,ghi_apr,ghi_may,ghi_jun,ghi_jul,ghi_aug,ghi_sep,ghi_oct,ghi_nov,ghi_dec
V001,Village A,Nashik,20.005,73.780,1240,3.2,5.2,5.5,5.8,6.0,5.7,4.2,3.8,4.0,4.5,5.1,5.3,5.0
V002,Village B,Nashik,20.025,73.810,830,5.8,4.9,5.2,5.5,5.7,5.4,4.0,3.6,3.8,4.3,4.9,5.1,4.8
V003,Village C,Nashik,20.055,73.850,2100,2.1,5.4,5.7,6.0,6.2,5.9,4.4,4.0,4.2,4.7,5.3,5.5,5.2
V004,Village D,Nashik,20.090,73.880,620,12.4,4.5,4.8,5.1,5.3,5.0,3.7,3.3,3.5,4.0,4.5,4.7,4.4
V005,Village E,Nashik,20.120,73.920,1750,4.5,5.0,5.3,5.6,5.8,5.5,4.1,3.7,3.9,4.4,5.0,5.2,4.9
V006,Village F,Nashik,20.150,73.950,950,8.1,4.7,5.0,5.3,5.5,5.2,3.9,3.5,3.7,4.2,4.7,4.9,4.6
V007,Village G,Nashik,20.180,73.980,3200,2.8,5.5,5.8,6.1,6.3,6.0,4.5,4.1,4.3,4.8,5.4,5.6,5.3
V008,Village H,Nashik,20.210,74.010,450,15.2,4.3,4.6,4.9,5.1,4.8,3.5,3.1,3.3,3.8,4.3,4.5,4.2
V009,Village I,Nashik,20.240,74.040,1450,6.0,5.1,5.4,5.7,5.9,5.6,4.1,3.7,3.9,4.4,5.0,5.2,4.9
V010,Village J,Nashik,20.270,74.070,2700,3.7,5.3,5.6,5.9,6.1,5.8,4.3,3.9,4.1,4.6,5.2,5.4,5.1
