village_id,village_name,grid_distance_km,annual_generation_mwh,payback_years,roi_percent,solar_score,financial_score,grid_score,demand_score,infrastructure_score,investment_score,rank
V010,Village J,3.7,1410.76736,7,265.3995922914023,100.0,100.0,87.78625954198473,50,50,85.05725190839695,1
V009,Village I,6.0,1410.76736,7,265.3995922914023,100.0,100.0,70.22900763358778,50,50,81.54580152671755,2
V008,Village H,15.2,1410.76736,7,265.3995922914023,100.0,100.0,0.0,50,50,67.5,3
V003,Village C,2.1,1374.1480000000001,7,254.61704398097632,0.0,0.0,100.0,50,50,32.5,4
V007,Village G,2.8,1374.1480000000001,7,254.61704398097632,0.0,0.0,94.65648854961832,50,50,31.431297709923665,5
V001,Village A,3.2,1374.1480000000001,7,254.61704398097632,0.0,0.0,91.6030534351145,50,50,30.820610687022903,6
V005,Village E,4.5,1374.1480000000001,7,254.61704398097632,0.0,0.0,81.6793893129771,50,50,28.83587786259542,7
V002,Village B,5.8,1374.1480000000001,7,254.61704398097632,0.0,0.0,71.75572519083968,50,50,26.851145038167935,8
V006,Village F,8.1,1374.1480000000001,7,254.61704398097632,0.0,0.0,54.19847328244275,50,50,23.33969465648855,9
V004,Village D,12.4,1374.1480000000001,7,254.61704398097632,0.0,0.0,21.37404580152671,50,50,16.77480916030534,10
