date,solar_irradiance,avg_temperature,month,village_id,village_name
2025-01-01,4.4076,21.27,1,V001,Village A
2025-01-02,4.9877,21.01,1,V001,Village A
2025-01-03,5.1173,20.47,1,V001,Village A
2025-01-04,5.1876,21.17,1,V001,Village A
2025-01-05,4.0848,19.91,1,V001,Village A
2025-01-06,4.6699,18.65,1,V001,Village A
2025-01-07,4.5058,18.45,1,V001,Village A
2025-01-08,4.6073,18.27,1,V001,Village A
2025-01-09,4.6973,18.63,1,V001,Village A
2025-01-10,3.9754,19.77,1,V001,Village A
2025-01-11,3.7968,20.09,1,V001,Village A
2025-01-12,3.6425,19.43,1,V001,Village A
2025-01-13,3.6646,19.71,1,V001,Village A
2025-01-14,3.859,21.58,1,V001,Village A
2025-01-15,3.7315,22.24,1,V001,Village A
2025-01-16,3.7596,21.51,1,V001,Village A
2025-01-17,4.0745,21.79,1,V001,Village A
2025-01-18,4.5173,21.64,1,V001,Village A
2025-01-19,4.5106,21.81,1,V001,Village A
2025-01-20,4.6819,22.21,1,V001,Village A
2025-01-21,5.0623,21.94,1,V001,Village A
2025-01-22,4.95,22.46,1,V001,Village A
2025-01-23,4.7911,21.73,1,V001,Village A
2025-01-24,4.8209,23.1,1,V001,Village A
2025-01-25,5.0801,24.11,1,V001,Village A
2025-01-26,5.1545,24.44,1,V001,Village A
2025-01-27,5.233,24.28,1,V001,Village A
2025-01-28,5.3513,24.69,1,V001,Village A
2025-01-29,5.4199,25.4,1,V001,Village A
2025-01-30,5.311,24.01,1,V001,Village A
2025-01-31,5.4113,22.53,1,V001,Village A
2025-02-01,5.3455,22.2,2,V001,Village A
2025-02-02,5.2579,23.44,2,V001,Village A
2025-02-03,4.9358,24.22,2,V001,Village A
2025-02-04,4.8026,23.61,2,V001,Village A
2025-02-05,5.406,22.7,2,V001,Village A
2025-02-06,5.029,24.01,2,V001,Village A
2025-02-07,4.8379,24.41,2,V001,Village A
2025-02-08,4.7194,25.18,2,V001,Village A
